regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
0,0.0016311412,0.0028637631,0.047375463,0.5121718,0.35378665,0.062216066,0.02445005
0,0.001857113,0.003102405,0.0502685,0.50265336,0.35497716,0.06589267,0.026208274
-1,0.0026534868,0.004650611,0.016667096,0.628353,0.32423273,0.025505222,0.005241911
1,0.0044568432,0.0052763354,0.060913358,0.43840903,0.3264812,0.04312237,0.13107407
0,0.0023801613,0.003414172,0.063846596,0.4357968,0.3484434,0.102209434,0.04970379
0,0.0017387696,0.0030412392,0.06846562,0.43159398,0.34358647,0.10476405,0.05158985
0,0.0021281582,0.0025037737,0.055962164,0.47398728,0.35620296,0.07864757,0.035199936
0,0.0024320164,0.0023997286,0.054493293,0.48047087,0.35910165,0.07361382,0.03232042
0,0.0018027035,0.002603924,0.057712555,0.4653305,0.3571754,0.08226631,0.03751526
-1,0.0015516065,0.004938541,0.022712171,0.6042473,0.32980436,0.034031942,0.009204269
1,0.0031249847,0.0047428133,0.058560483,0.43762246,0.33804062,0.040128183,0.12564828
0,0.0027234077,0.0030266733,0.060005557,0.4766278,0.33889988,0.08759873,0.036868066
0,0.0015791118,0.002484892,0.054584,0.49135613,0.3419198,0.078908205,0.033231825
0,0.0009262897,0.002157129,0.054476917,0.5029391,0.34001487,0.072741844,0.029827256
0,0.0010855851,0.0020911559,0.0529204,0.51099604,0.33731085,0.06964684,0.029125826
0,0.00081766315,0.0024227442,0.05644107,0.500782,0.3349916,0.07631776,0.03146754
-1,0.002931832,0.004123173,0.020882556,0.6257419,0.31605625,0.030358331,0.0069609107
0,0.0030788188,0.0043176664,0.07394586,0.44832265,0.3239762,0.1066361,0.04711918
0,0.0017885193,0.0027491516,0.052929945,0.5022714,0.33963588,0.07734041,0.027822325
0,0.0016792135,0.002274416,0.054175332,0.49614638,0.34486094,0.0784402,0.026377108
0,0.0017115879,0.0020707683,0.04733182,0.5222297,0.3405578,0.06624751,0.023633212
0,0.0019707023,0.0020652162,0.047163002,0.5258385,0.33778325,0.06506896,0.02414623
0,0.0010589722,0.0024665622,0.05194757,0.5128109,0.3359861,0.071341656,0.027913768
-1,0.0013185786,0.0040894784,0.016880069,0.64954925,0.3022063,0.026010728,0.005353637
0,0.0027600185,0.0041425396,0.062283326,0.48252398,0.3310384,0.0901528,0.034001503
0,0.0019740635,0.002880637,0.048178356,0.50894105,0.3453051,0.0725488,0.025026642
0,0.0015535665,0.0023314953,0.043562867,0.5192711,0.34983435,0.06517755,0.022154205
0,0.0015410555,0.0021005871,0.044718735,0.5270075,0.34560174,0.061397776,0.021274308
0,0.0009773182,0.0021330235,0.04291737,0.53760004,0.34256423,0.05669275,0.02022555
0,0.0013564458,0.0025929245,0.047213294,0.5251178,0.342213,0.06380402,0.021651842
-1,0.007337593,0.0039797,0.014849973,0.6509532,0.30756697,0.022382831,0.004247029
2,0.0075791576,0.004140824,0.005252677,0.41836995,0.43371385,0.0015597356,0.14110382
0,0.0038614555,0.0034204992,0.06164947,0.4704247,0.3435065,0.08790665,0.03651267
0,0.0037147584,0.0029933276,0.060861483,0.46643797,0.34447592,0.09104833,0.037176304
0,0.0038451576,0.0029041478,0.06264088,0.4603759,0.3464695,0.09181448,0.03869923
0,0.0018754553,0.0029133805,0.061404765,0.4671181,0.35047394,0.08508171,0.03592153
0,0.0025080014,0.0032640188,0.05531852,0.49095255,0.3449389,0.07578212,0.033007894
-1,0.0044482565,0.005534708,0.01815325,0.62225443,0.32384,0.028890226,0.0068621514
0,0.004544719,0.0055973427,0.06919062,0.44047502,0.33777168,0.10555189,0.047010798
0,0.0028736838,0.0035727806,0.05777093,0.46598387,0.34639698,0.09122594,0.03862228
0,0.002259262,0.003099865,0.059533533,0.46336675,0.34716135,0.09133486,0.0386035
0,0.0011271812,0.002672332,0.05317434,0.4877793,0.3521567,0.07579933,0.031090274
0,0.001602285,0.0024960462,0.04876189,0.5036583,0.35215062,0.06720634,0.028222851
0,0.001462613,0.0029347148,0.05319097,0.49240416,0.35583204,0.0707392,0.02783362
-1,0.004385307,0.005108239,0.022313291,0.6040019,0.32980874,0.034522973,0.009353148
0,0.0043338276,0.0051330514,0.069443025,0.43308246,0.34364223,0.10667147,0.047160782
0,0.0027251034,0.0032187395,0.06216415,0.47266564,0.33515647,0.090932034,0.03908168
0,0.002443313,0.00257962,0.06356505,0.46973336,0.3418182,0.0884627,0.03642067
0,0.0010521197,0.0022747458,0.057010867,0.49081978,0.3400938,0.07816788,0.033907697
0,0.0011640955,0.002167159,0.05511997,0.5005913,0.34000993,0.07302005,0.031258784
0,0.0016861501,0.0026393551,0.05765234,0.49291646,0.3377987,0.07799736,0.03363514
-1,0.0070557515,0.0046588443,0.022307375,0.6214835,0.3150976,0.03335426,0.0077572353
2,0.0071075833,0.0049413694,0.006295821,0.41614732,0.41650993,0.0019490175,0.15909785
0,0.0021945778,0.0034308885,0.056675524,0.4966345,0.33442295,0.08107516,0.031191852
0,0.0013711244,0.002653541,0.052994944,0.49962983,0.33826125,0.079507984,0.02960601
0,0.0017208238,0.002363199,0.050108116,0.51516473,0.339296,0.06900473,0.02642644
0,0.0012182358,0.0023387258,0.049584158,0.5218348,0.33892113,0.06549266,0.02416729
0,0.00095915055,0.0028043068,0.05061259,0.5172832,0.33766666,0.06874982,0.025687706
-1,0.0047128964,0.0041906266,0.019401558,0.6303443,0.3155377,0.028950023,0.0057665207
2,0.0049012676,0.0046936898,0.0052990997,0.4243561,0.4155637,0.0015444291,0.15323663
0,0.0015791525,0.0031302837,0.048841443,0.5115087,0.34166992,0.07305436,0.024925577
0,0.0021946547,0.002477415,0.051010646,0.5034748,0.34755507,0.073416114,0.024543392
0,0.001184991,0.0023040194,0.046559554,0.5231525,0.34489834,0.06335723,0.022032376
0,0.00080732006,0.0022435184,0.04503416,0.53152734,0.34372047,0.058861595,0.020856474
0,0.0008798793,0.0026319162,0.045857713,0.5296511,0.34376463,0.059455648,0.02127092
