regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
0,0.0017807279,0.0018494583,0.0043227933,0.86907345,0.029539783,0.08851995,0.008544096
0,0.0020460647,0.002270314,0.006051222,0.86021453,0.033353485,0.089220874,0.011159862
0,0.0023168141,0.0024436018,0.0026100005,0.9139184,0.0179859,0.060229253,0.0052565015
-1,0.0029553084,0.002623132,0.00023057831,0.9568584,0.0059486474,0.036112852,0.00084959704
0,0.0033289506,0.002821678,0.005939208,0.8391589,0.04197231,0.101696186,0.011233427
0,0.0015721217,0.0020947978,0.003961174,0.84758073,0.038629748,0.10043237,0.009396023
0,0.001041724,0.0017847855,0.0025523202,0.89303344,0.025251292,0.07307742,0.0060855034
0,0.0012578099,0.0016273055,0.0013191696,0.934361,0.014568528,0.046349965,0.0034013458
0,0.0011966551,0.0016730913,0.0012694276,0.9387469,0.013056867,0.043786608,0.0031401108
0,0.0018112195,0.0019086757,0.0012622958,0.93871415,0.013135292,0.04375524,0.0031330332
0,0.0019550635,0.0021597152,0.0019178144,0.9178995,0.018349372,0.057235733,0.0045976145
-1,0.0017248555,0.002360743,0.00013877472,0.9636032,0.004767084,0.030895054,0.00059580687
2,0.0022105966,0.00249722,0.0041836337,0.98758626,0.0065427716,0.0011967574,0.00049063115
0,0.0015368239,0.0020177846,0.0031777886,0.8663519,0.03221742,0.090983585,0.0072693387
0,0.0016653093,0.0017686789,0.0027131052,0.8848315,0.02727343,0.07851495,0.0066669863
0,0.0019619209,0.001709743,0.0013936709,0.92376477,0.015951362,0.0552458,0.003644375
0,0.0013964871,0.0017736141,0.0018328751,0.9170217,0.018024871,0.058578756,0.0045417557
0,0.0012470199,0.0020748645,0.0010680812,0.9388549,0.012363207,0.04481992,0.0028939662
0,0.0016500795,0.0023783776,0.00177065,0.92399555,0.016198719,0.053839505,0.0041955616
-1,0.0026288906,0.0027503595,0.00011827022,0.9657999,0.00415963,0.029429613,0.00049244077
0,0.0017814717,0.0029660875,0.0044508907,0.84409845,0.0386755,0.10267682,0.010098413
0,0.0018658882,0.0022899532,0.0035732395,0.859271,0.033302248,0.095928565,0.007924918
0,0.0020116004,0.0018462951,0.0020276392,0.90325433,0.020919355,0.06873363,0.0050649852
0,0.0008627157,0.0016188344,0.000995941,0.9355344,0.012241693,0.048579145,0.0026487801
0,0.0015358048,0.0015008595,0.0011579826,0.94042605,0.011811406,0.04378731,0.0028172894
0,0.0019180439,0.0016887044,0.0010817209,0.9413835,0.011614533,0.04316578,0.0027544058
0,0.0016842168,0.0019651013,0.0018615033,0.9213253,0.016976757,0.055333767,0.004502685
-1,0.0015600077,0.0023337374,0.00011584874,0.9667303,0.0039705248,0.028705375,0.00047792168
0,0.0019072613,0.0025939618,0.003875628,0.8622986,0.032751456,0.09269142,0.008382869
0,0.0012720791,0.0020784491,0.00359639,0.8677398,0.032522928,0.08798215,0.008158754
0,0.0015973256,0.0017192265,0.0017450632,0.9164412,0.018028986,0.059483558,0.0043012416
0,0.0012157669,0.0016020421,0.0009933182,0.9414495,0.01190447,0.04295819,0.0026945365
0,0.00150475,0.0015858746,0.0011468793,0.94179136,0.011628538,0.042619847,0.0028134624
0,0.0014377992,0.0017798907,0.0010477001,0.9444592,0.01107758,0.040758215,0.002657372
0,0.0019975158,0.0020870706,0.0027660455,0.90235007,0.022931663,0.065216206,0.006736064
-1,0.001513122,0.0024108142,0.000126517,0.96596754,0.004162397,0.029211443,0.00053204317
2,0.002373162,0.002663055,0.004318015,0.9876851,0.006288426,0.0011858133,0.00052272755
0,0.001956433,0.0022346275,0.004322878,0.83395106,0.040708784,0.111431494,0.009585825
0,0.0017647992,0.0019859574,0.0031565994,0.8719704,0.030970497,0.08653144,0.0073710536
0,0.0009657665,0.001978546,0.002454095,0.89678425,0.023842921,0.07101843,0.0059003695
0,0.0016543365,0.0020428873,0.0017662563,0.92419404,0.016894056,0.052982423,0.0041632224
1,0.003282516,0.0026504355,0.023881465,0.9187366,0.036008652,0.013490811,0.007882494
0,0.0018033928,0.002799843,0.0038149566,0.873563,0.031592548,0.08184963,0.009179782
-1,0.002580671,0.0028802392,0.00032807718,0.9486889,0.00836912,0.041297212,0.001316724
0,0.0021962554,0.0029537326,0.0064420057,0.81650186,0.051506724,0.111700796,0.013848625
0,0.0013862762,0.0022060224,0.003217979,0.8685127,0.032740843,0.08790388,0.007624598
0,0.0021989706,0.0017750082,0.0015064722,0.9199519,0.01773023,0.0570393,0.0037720269
0,0.0014966452,0.0016711417,0.0011639374,0.9297994,0.014630463,0.05136101,0.0030452046
0,0.0013000228,0.0016594975,0.0012728993,0.9339704,0.014307696,0.047125164,0.003323966
0,0.001702369,0.0018843536,0.0015190062,0.93074065,0.015192381,0.04890254,0.0036454583
0,0.0018777406,0.0021493735,0.003565195,0.88747483,0.027955903,0.072798155,0.00820593
-1,0.0014939739,0.0023196377,0.00020798578,0.95839256,0.005893242,0.03466417,0.000842075
